arxiv_id,title,angles,claim,not_covered
2603.28013,Kill-Chain Canaries: Stage-Level Tracking of Prompt Injection Across Attack Surfaces and Model Safety Tiers,A,"Tracks a cryptographic canary token through 4 stages (EXPOSED->PERSISTED->RELAYED->EXECUTED), 950 runs, 5 LLMs, 6 attack surfaces, 5 defense conditions; ""write-node placement is the highest-leverage safety decision""; ""all four defenses fail on at least one surface due to channel mismatch alone""; ""rendered-layer screening is insufficient""","Boundary studied is agent memory/tool surfaces in multi-agent pipelines, NOT the image->OCR->text modality conversion; no before/after-OCR filter comparison; no OCR at all"
2607.19396,CrackedPDFs: A Controlled Benchmark for Hidden Prompt Injection in PDFs,"A,B","""Document-based LLM systems often flatten a PDF before guardrails inspect it. That step can discard evidence...""; 29,322 PDFs; PromptGuard ""has low recall when given extracted text only""",Inverse orientation (extraction *destroys* evidence a filter needs; ours: pre-OCR filter *never sees* the payload). Explicitly does not cover scanned documents or OCR-only pipelines; no placement sweep (a/b/c/d)
2605.28017,Can It Reach the Generator? Investigating the Survival of Prompt-Injection Attacks in Realistic RAG Settings,A,"Re-evaluates 7 GEO attacks under retriever->reranker->generator; prior protocols overstate effectiveness; ""a lightweight prompt-injection guard... already detects every attack""",Text-only RAG stages; no OCR/image/modality conversion; guard tested at one placement only
2604.25562,SnapGuard: Lightweight Prompt Injection Detection for Screenshot-Based Web Agents,A,"Lightweight multimodal detector on webpage screenshots; ""predominant text-centric defenses ineffective"" for screenshot agents; F1 0.75","Proposes ONE detector at ONE placement; no placement comparison; web agents, not document OCR pipelines"
2506.16760,Cross-Modal Obfuscation for Jailbreak Attacks on Large Vision-Language Models (CAMO),A,"Decomposes malicious prompts into benign visual+textual fragments, ""evading conventional detection mechanisms"" (incl., per paper body, OCR-based toxicity classifiers)",Attack paper; no systematic placement measurement; jailbreak not doc-pipeline injection
2508.17884,PhantomLint: Principled Detection of Hidden LLM Prompts in Structured Documents,A,"First principled hidden-prompt detection in PDF/HTML; 3,402 docs, FPR ~0.092%","Detection tool, not placement study; digital-born docs, no scanned/OCR path"
2509.14285,A Multi-Agent LLM Defense Pipeline Against Prompt Injection Attacks,"A,B",Sequential/hierarchical LLM-agent defense pipelines; ASR 30%->0% on 400 attack instances,"Placement is of *defense agents*, all in the text channel; no OCR/modality boundary"
2604.23887,Evaluation of Prompt Injection Defenses in Large Language Models,A,"Adaptive attacker vs 9 defense configurations, 20k+ attacks; only application-code output filtering held","System-prompt secret leakage task; no input-side modality boundary, no OCR"
2605.30837,Send a SCOUT First: Pre-hoc Reasoning for Adaptive Detector Allocation in Prompt-Injection Defense,A,"Reframes defense as per-request detector *allocation* (which detectors to run, when to escalate)","Allocation across a detector pool per query, not placement across pipeline stages/modality boundaries"
2511.10720,PISanitizer: Preventing Prompt Injection to Long-Context LLMs via Prompt Sanitization,A,Attention-guided sanitization of injected tokens in long contexts before generation,"No OCR, no placement comparison"
2605.28999,Measuring Real-World Prompt Injection Attacks in LLM-based Resume Screening,"A,B","First large-scale measurement of real injected resumes (~200K resumes, ~1% injected)","Prevalence measurement, not defense placement; no OCR boundary"
2509.05883,Multimodal Prompt Injection Attacks: Risks and Defenses for Modern LLMs,"A,B",Tests 8 commercial models on direct/indirect/image-based injection + leakage with built-in safeguards only,"No staged pipeline, no filter placement experiment"
2509.10248,Prompt Injection Attacks on LLM Generated Reviews of Scientific Publications,"A,B",Simple hidden injections reach up to 100% acceptance-score manipulation in LLM peer review,Attack demonstration; no defense placement evaluation
2608.05715,Hijacking Robots with a Piece of Paper (physical prompt injection in VLM robots),A,"Systematic physical-world injection benchmark, 5,670 trials, 3 VLMs","Robots/physical; no OCR pipeline, no defenses/placement"
2302.12173,Not What You've Signed Up For: Compromising Real-World LLM-Integrated Applications with Indirect Prompt Injection,"B,C,D",2023,"Text channel only; no OCR stage, no defence-placement measurement, no rendering conditions."
2306.05499,Prompt Injection attack against LLM-integrated Applications,B,2023,"Direct/text injection; no image or OCR pipeline, no defence placement."
2402.07867,PoisonedRAG: Knowledge Corruption Attacks to Retrieval-Augmented Generation of LLMs,B,2024,"Retrieval corpus channel, not scanned-image/OCR channel; no defence-placement or survival measurement."
2307.10490,(Ab)using Images and Sounds for Indirect Instruction Injection in Multi-Modal LLMs,"B,C,D",2023,"Perturbations, not OCR-readable text; nothing on OCR boundary or defence placement."
2309.00236,Image Hijacks: Adversarial Images can Control Generative Models at Runtime,B,2023,"White-box gradient attacks on VLMs; no OCR stage, no defences measured."
2605.16090,A Cross-Modal Prompt Injection Attack against LVLMs with Image-Only Perturbation,"B,D",2026,"Attack novelty only; no defence placement, no OCR-text pipeline."
2311.05608,FigStep: Jailbreaking Large Vision-Language Models via Typographic Visual Prompts,B,2023,"Jailbreak goal, not injection into a document pipeline; no OCR->text stage, no defences."
2402.00626,Vision-LLMs Can Fool Themselves with Self-Generated Typographic Attacks,"B,D",2024,"Misclassification, not instruction injection; no pipeline placement or survival curves."
2503.11519,Exploring Typographic Visual Prompts Injection Threats in Cross-Modality Generation Models,B,2025,Threat characterisation only; no defence placement relative to any OCR stage.
2510.09849,Text Prompt Injection of Vision Language Models,"B,D",2025,Attack effectiveness only; no defence measurement.
2603.03637,Image-based Prompt Injection: Hijacking Multimodal LLMs through Visually Embedded Adversarial Instructions,"B,C,D",2026,"Studies rendering as an ATTACK optimisation knob, not as defence-side survival curves; no defence placement. (S2 metadata says 2025; arXiv id 2603 = 2026-03.)"
2601.17383,Physical Prompt Injection Attacks on Large Vision-Language Models,"B,D",2026,"Physical channel; no OCR document pipeline, no defences."
2505.16957,"Invisible Prompts, Visible Threats: Malicious Font Injection in External Resources for LLMs",B,2025,"Font-encoding channel; no OCR stage, no defence-placement comparison."
2507.22304,Invisible Injections: Exploiting Vision-Language Models Through Steganographic Prompt Embedding,B,2025,"Attack study; no defence placement, no OCR-text boundary."
2508.20863,Misleading Large Language Models used (or misused) in Scientific Peer-Reviewing via Hidden Prompt-Injection Attacks,B,2025,"PDF text layer, not scanned/OCR channel; no defence placement."
2504.14348,Manipulating Multimodal Agents via Cross-Modal Prompt Injection,B,2025,"Agent attack; no OCR document pipeline, no defence placement."
2510.04257,AgentTypo: Adaptive Typographic Prompt Injection Attacks against Black-box Multimodal Agents,B,2025,"Optimises rendering for attack success, not defence-side survival curves; no OCR boundary."
2512.04895,Chameleon: Adaptive Adversarial Agents for Scaling-Based Visual Prompt Injection,B,2025,Exploits ONE preprocessing stage as attack vector; does not measure where defences should sit or after-OCR recovery.
2606.30783,Security-Fidelity Tradeoffs: The Hidden Cost of Prompt Injection Defense,B,2026,"Measures a defence TRADEOFF, not defence PLACEMENT; text channel, no OCR boundary or rendering conditions."
2310.12815,Formalizing and Benchmarking Prompt Injection Attacks and Defenses (USENIX Sec'24),C,2023,"All defenses (paraphrase, retokenize, delimiters, detectors) applied to **already-extracted text**."
2312.14197,Benchmarking and Defending Against Indirect Prompt Injection Attacks on LLMs (BIPIA),C,2023,Injection in external **text** content (email/web/tables); defense at prompt-assembly or model level.
2402.00898,An Early Categorization of Prompt Injection Attacks on Large Language Models,C,2024,Conceptual; text prompts only.
2402.06363,StruQ: Defending Against Prompt Injection with Structured Queries,C,2024,Model + prompt-format level; assumes data arrives as **text** to be placed in the data channel.
2403.02691,InjecAgent: Benchmarking Indirect Prompt Injections in Tool-Integrated LLM Agents,C,2024,Injection in **tool-response text**; no modality conversion.
2403.14720,Defending Against Indirect Prompt Injection Attacks With Spotlighting (Microsoft),C,2024,"Transform applied to untrusted **text after it exists as text** (i.e., post-OCR in a document pipeline); conversion stage itself not studied."
2312.17673,Jatmo: Prompt Injection Defense by Task-Specific Finetuning,C,2023,Model level; text I/O.
2404.13208,The Instruction Hierarchy: Training LLMs to Prioritize Privileged Instructions (OpenAI),C,2024,Model level; privilege assigned to **text channels** (incl. tool outputs); no conversion stage.
2405.15556,Certifiably Robust RAG against Retrieval Corruption (RobustRAG),C,2024,"Defense over **retrieved text passages** (post-retrieval, pre-LLM aggregation)."
2406.13352,AgentDojo: A Dynamic Environment to Evaluate Prompt Injection Attacks and Defenses for LLM Agents,C,2024,"Injections in **tool-result text**; defenses (detectors, prompt sandwich, tool filter) sit between tool output and LLM."
2408.03554,Empirical Analysis of Large Vision-Language Models against Goal Hijacking via Visual Prompt Injection,"C,D",2024,"Attack rides the model's **implicit OCR**; only defense tested is a system-prompt instruction, not a pipeline filter."
2410.02644,Agent Security Bench (ASB): Formalizing and Benchmarking Attacks and Defenses in LLM-based Agents,C,2024,"Injection points: system/user prompt, **tool text, memory**; all textual."
2410.05451,SecAlign: Defending Against Prompt Injection with Preference Optimization,C,2024,Model (alignment) level; text.
2410.22770,InjecGuard: Benchmarking and Mitigating Over-defense in Prompt Injection Guardrail Models,C,2024,Guardrail classifier on **input text** ahead of the LLM.
2411.00348,Attention Tracker: Detecting Prompt Injection Attacks in LLMs,C,2024,Inside the model at inference; consumes **text prompt**.
2412.16682,The Task Shield: Enforcing Task Alignment to Defend Against Indirect Prompt Injection in LLM Agents,C,2024,Agent runtime monitor over **text messages/tool calls**.
2501.15145,PromptShield: Deployable Detection for Prompt Injection Attacks,C,2025,Detector on **text input** at prompt assembly.
2502.05174,MELON: Provable Defense Against Indirect Prompt Injection Attacks in AI Agents,C,2025,Agent runtime; **tool-retrieved text**.
2503.18813,"Defeating Prompt Injections by Design (CaMeL, DeepMind)",C,2025,System layer around the LLM; untrusted data is **text values** in a dataflow.
2504.11358,DataSentinel: A Game-Theoretic Detection of Prompt Injection Attacks,C,2025,Detector over **contaminated text inputs**.
2505.18333,A Critical Evaluation of Defenses against Prompt Injection Attacks,C,2025,"Meta-evaluation; all evaluated defenses operate on **text**; placement axis = model vs prompt, never conversion stage."
2506.08837,Design Patterns for Securing LLM Agents against Prompt Injections,C,2025,Architecture level; treats untrusted content as **opaque text/data blobs**.
2506.09956,LLMail-Inject: A Dataset from a Realistic Adaptive Prompt Injection Challenge,C,2025,Injections in **email text**; defense stack sits between email text and LLM.
2507.13169,Prompt Injection 2.0: Hybrid AI Threats,C,2025,System/web layer; text and web content; no OCR stage.
2507.15219,PromptArmor: Simple yet Effective Prompt Injection Defenses,C,2025,"Sanitizer on **input text** immediately before the agent — the canonical ""filter after text exists"" defense."
2510.14005,PIShield: Detecting Prompt Injection Attacks via Intrinsic LLM Features,C,2025,Inside-model detector; **text prompt**.
2305.07895,2023,D,OCRBench: On the Hidden Mystery of OCR in Large Multimodal Models,"Pure capability benchmark; no adversarial/embedded-instruction content, no refusal or execution measurement, no pipeline placement question."
2501.00321,2024,D,OCRBench v2,"Same: fidelity only, benign inputs, no injection content, no degradation-vs-attack interaction."
2310.16809,2023,D,Exploring OCR Capabilities of GPT-4V(ision): A Quantitative and In-depth Evaluation,No embedded instructions; does not ask whether the model transcribes vs executes text it reads.
2607.21617,2026,D,Do VLMs Read or Rewrite? On Transcription Faithfulness in Vision-Language Models,"Closest fidelity work. Perturbations are character-level (scramble/substitution), not render degradations (DPI, noise, rotation); rewriting is measured, not instruction execution or refusal; no security framing, no downstream LLM stage."
2506.20168,2025,D,Seeing is Believing? Mitigating OCR Hallucinations in Multimodal LLMs,"Hallucination under degradation, but benign content only; no injected instructions, no execution-rate measurement, no filter-placement question."
2502.20295,2025,D,Judge a Book by its Cover: Multi-Modal LLMs for Multi-Page Handwritten Document Transcription,"Faithfulness on handwriting only; no adversarial content, no refusal behavior."
2504.00414,2025,D,"Multimodal LLMs for OCR, OCR Post-Correction, and NER in Historical Documents",mLLM-as-OCR accuracy comparison (their arm ~= ours) but zero security dimension; no embedded canaries.
2511.13523,2025,D,Compact Multimodal Language Models as Robust OCR Alternatives for Noisy Textual Clinical Reports,"Noise robustness of MLLM-OCR, benign only; no injection, no refusal-as-defence observation."
2502.16781,2025,D,MultiOCR-QA: Robustness of LLMs in QA on Multilingual Noisy OCR Data,Downstream degradation curve for a benign task; never asks whether adversarial payloads survive noise at a different rate (our fidelity-vs-injection decoupling).
2605.00911,2026,D,When Good OCR Is Not Enough: Benchmarking OCR Robustness for RAG,"Establishes CER != downstream utility (structurally analogous to our CER != injection-survival), but entirely benign; no attacks."
2505.05666,2025,D,Lost in OCR Translation? Vision-Based Approaches to Robust Document Retrieval,"Retrieval quality only; no injected content, no filter placement."
2505.11015,2025,D,WildDoc,"Degradation axis matches ours, task is benign VQA; no injection-survival measurement."
