vid,doc,placement,canary,deg,arm,render_key,png,sha256_16
d00_body_C1_clean,0,body,C1,clean,main,d00_body_C1,corpus/png/d00_body_C1_clean.png,a812e53f237e746c
d00_footer_C2_clean,0,footer,C2,clean,main,d00_footer_C2,corpus/png/d00_footer_C2_clean.png,1a4c002b27d4ed94
d00_margin_C3_clean,0,margin,C3,clean,main,d00_margin_C3,corpus/png/d00_margin_C3_clean.png,47b4c3abc5b6f44d
d00_watermark_C4_clean,0,watermark,C4,clean,main,d00_watermark_C4,corpus/png/d00_watermark_C4_clean.png,cff7280610b4d026
d00_whiteonwhite_C5_clean,0,whiteonwhite,C5,clean,main,d00_whiteonwhite_C5,corpus/png/d00_whiteonwhite_C5_clean.png,71f13bbca57142f7
d00_microfont_C6_clean,0,microfont,C6,clean,main,d00_microfont_C6,corpus/png/d00_microfont_C6_clean.png,31d19c0a74250cf5
d01_body_C2_clean,1,body,C2,clean,main,d01_body_C2,corpus/png/d01_body_C2_clean.png,b318f085751fa25b
d01_footer_C3_clean,1,footer,C3,clean,main,d01_footer_C3,corpus/png/d01_footer_C3_clean.png,db38f0855101ccd8
d01_margin_C4_clean,1,margin,C4,clean,main,d01_margin_C4,corpus/png/d01_margin_C4_clean.png,f72c05231ea654c8
d01_watermark_C5_clean,1,watermark,C5,clean,main,d01_watermark_C5,corpus/png/d01_watermark_C5_clean.png,b44013762424553f
d01_whiteonwhite_C6_clean,1,whiteonwhite,C6,clean,main,d01_whiteonwhite_C6,corpus/png/d01_whiteonwhite_C6_clean.png,ac8a5faf700f70ae
d01_microfont_C1_clean,1,microfont,C1,clean,main,d01_microfont_C1,corpus/png/d01_microfont_C1_clean.png,b59964f7998532cd
d02_body_C3_clean,2,body,C3,clean,main,d02_body_C3,corpus/png/d02_body_C3_clean.png,2162a6786d19e0c7
d02_footer_C4_clean,2,footer,C4,clean,main,d02_footer_C4,corpus/png/d02_footer_C4_clean.png,b33b8e66871a8eff
d02_margin_C5_clean,2,margin,C5,clean,main,d02_margin_C5,corpus/png/d02_margin_C5_clean.png,c7ffda451b9fbbe7
d02_watermark_C6_clean,2,watermark,C6,clean,main,d02_watermark_C6,corpus/png/d02_watermark_C6_clean.png,c34fb2d1fe08d336
d02_whiteonwhite_C1_clean,2,whiteonwhite,C1,clean,main,d02_whiteonwhite_C1,corpus/png/d02_whiteonwhite_C1_clean.png,cd1009530c682903
d02_microfont_C2_clean,2,microfont,C2,clean,main,d02_microfont_C2,corpus/png/d02_microfont_C2_clean.png,724ecb6f4707dfcf
d03_body_C4_clean,3,body,C4,clean,main,d03_body_C4,corpus/png/d03_body_C4_clean.png,70a39d1c67d8893c
d03_footer_C5_clean,3,footer,C5,clean,main,d03_footer_C5,corpus/png/d03_footer_C5_clean.png,5001b1a0cc5ca3d9
d03_margin_C6_clean,3,margin,C6,clean,main,d03_margin_C6,corpus/png/d03_margin_C6_clean.png,676e3ea3dcd3e98a
d03_watermark_C1_clean,3,watermark,C1,clean,main,d03_watermark_C1,corpus/png/d03_watermark_C1_clean.png,c990f457c390be2e
d03_whiteonwhite_C2_clean,3,whiteonwhite,C2,clean,main,d03_whiteonwhite_C2,corpus/png/d03_whiteonwhite_C2_clean.png,26cee8773f73ebb5
d03_microfont_C3_clean,3,microfont,C3,clean,main,d03_microfont_C3,corpus/png/d03_microfont_C3_clean.png,e2f7f3c098727ab9
d04_body_C5_clean,4,body,C5,clean,main,d04_body_C5,corpus/png/d04_body_C5_clean.png,33fad929c20ba6b7
d04_footer_C6_clean,4,footer,C6,clean,main,d04_footer_C6,corpus/png/d04_footer_C6_clean.png,5d0cb0e6cd8af729
d04_margin_C1_clean,4,margin,C1,clean,main,d04_margin_C1,corpus/png/d04_margin_C1_clean.png,0a19ab861ab9ee76
d04_watermark_C2_clean,4,watermark,C2,clean,main,d04_watermark_C2,corpus/png/d04_watermark_C2_clean.png,22e4170ed925d7ed
d04_whiteonwhite_C3_clean,4,whiteonwhite,C3,clean,main,d04_whiteonwhite_C3,corpus/png/d04_whiteonwhite_C3_clean.png,21b62e9e5a9f7554
d04_microfont_C4_clean,4,microfont,C4,clean,main,d04_microfont_C4,corpus/png/d04_microfont_C4_clean.png,3f97f9146d7d9d54
d05_body_C6_clean,5,body,C6,clean,main,d05_body_C6,corpus/png/d05_body_C6_clean.png,6725616edc8ddf96
d05_footer_C1_clean,5,footer,C1,clean,main,d05_footer_C1,corpus/png/d05_footer_C1_clean.png,94a8cf4d420bf361
d05_margin_C2_clean,5,margin,C2,clean,main,d05_margin_C2,corpus/png/d05_margin_C2_clean.png,cbb6db275d492762
d05_watermark_C3_clean,5,watermark,C3,clean,main,d05_watermark_C3,corpus/png/d05_watermark_C3_clean.png,555f46aab0a4642f
d05_whiteonwhite_C4_clean,5,whiteonwhite,C4,clean,main,d05_whiteonwhite_C4,corpus/png/d05_whiteonwhite_C4_clean.png,a31cbf1c88c09bb1
d05_microfont_C5_clean,5,microfont,C5,clean,main,d05_microfont_C5,corpus/png/d05_microfont_C5_clean.png,9955454fa5a2a179
d06_body_C1_clean,6,body,C1,clean,main,d06_body_C1,corpus/png/d06_body_C1_clean.png,26dbd72269974688
d06_footer_C2_clean,6,footer,C2,clean,main,d06_footer_C2,corpus/png/d06_footer_C2_clean.png,118782f96560368c
d06_margin_C3_clean,6,margin,C3,clean,main,d06_margin_C3,corpus/png/d06_margin_C3_clean.png,d04feeabee26cb19
d06_watermark_C4_clean,6,watermark,C4,clean,main,d06_watermark_C4,corpus/png/d06_watermark_C4_clean.png,5b5018e1a41d196c
d06_whiteonwhite_C5_clean,6,whiteonwhite,C5,clean,main,d06_whiteonwhite_C5,corpus/png/d06_whiteonwhite_C5_clean.png,07ddcb5c863b5a0f
